DATE,year,month,day,hour,minute,1d,2d,5d,10d,1dHDPT,1dHRH,1dHV,1dHWS,HDBT,HDPT,HRH,HV,HWS
2014-08-14 07:15:00,2014,8,14,7,15,59,59,68,65,56,91,1000,0,63,62,93,1000,0
2014-08-14 07:35:00,2014,8,14,7,35,62,60,67,64,58,90,1000,0,66,61,85,1000,0
2014-08-14 07:55:00,2014,8,14,7,55,63,61,67,64,57,83,1000,3,66,61,84,1000,0
2014-08-14 08:15:00,2014,8,14,8,15,64,62,67,63,59,83,1000,0,68,61,78,1000,0
2014-08-14 08:35:00,2014,8,14,8,35,67,64,67,63,59,76,1000,3,70,63,78,1000,3
2014-08-14 08:55:00,2014,8,14,8,55,68,65,66,63,60,76,1000,3,72,63,74,1000,0
2014-08-14 09:15:00,2014,8,14,9,15,70,67,66,63,60,70,1000,5,73,63,72,1000,0
2014-08-14 09:35:00,2014,8,14,9,35,71,68,67,62,59,65,1000,5,74,63,68,1000,0
2014-08-14 09:55:00,2014,8,14,9,55,72,69,67,63,59,63,1000,6,74,61,64,1000,0
2014-08-14 10:15:00,2014,8,14,10,15,73,70,66,63,59,62,1000,5,75,62,65,1000,0
2014-08-14 10:35:00,2014,8,14,10,35,74,71,66,63,59,59,1000,3,76,62,62,1000,0
2014-08-14 10:55:00,2014,8,14,10,55,75,72,66,63,57,54,1000,6,77,63,61,1000,3
2014-08-14 11:15:00,2014,8,14,11,15,75,73,65,62,59,57,1000,5,77,63,61,1000,3
2014-08-14 11:35:00,2014,8,14,11,35,76,74,65,62,58,54,1000,5,78,63,60,1000,3
2014-08-14 11:55:00,2014,8,14,11,55,76,73,66,63,59,55,1000,5,78,63,61,1000,5
2014-08-14 12:15:00,2014,8,14,12,15,77,74,67,63,58,52,1000,6,77,63,62,1000,0
2014-08-14 12:35:00,2014,8,14,12,35,77,74,68,62,58,52,1000,5,79,63,58,1000,3
2014-08-14 12:55:00,2014,8,14,12,55,77,73,68,63,57,50,1000,5,80,63,58,1000,5
2014-08-14 13:15:00,2014,8,14,13,15,77,75,70,63,59,53,1000,6,80,63,57,1000,5
2014-08-14 13:35:00,2014,8,14,13,35,78,75,71,66,58,51,1000,5,80,62,55,1000,3
2014-08-14 13:55:00,2014,8,14,13,55,78,74,70,67,59,52,1000,6,80,65,59,1000,6
2014-08-14 14:15:00,2014,8,14,14,15,78,75,70,70,59,51,1000,0,80,62,54,1000,3
2014-08-14 14:35:00,2014,8,14,14,35,78,75,71,71,58,50,1000,0,80,63,55,1000,3
2014-08-14 14:55:00,2014,8,14,14,55,78,75,72,73,60,53,1000,5,81,64,57,1000,3
2014-08-14 15:15:00,2014,8,14,15,15,78,76,72,74,58,50,1000,0,81,62,52,1000,0
2014-08-14 15:35:00,2014,8,14,15,35,79,75,73,75,59,50,1000,3,81,63,55,1000,0
2014-08-14 15:55:00,2014,8,14,15,55,79,75,73,75,58,50,1000,0,81,63,54,1000,5
2014-08-14 16:15:00,2014,8,14,16,15,79,75,73,76,58,49,1000,0,80,64,58,1000,5
2014-08-14 16:35:00,2014,8,14,16,35,78,75,74,76,58,50,1000,5,78,65,63,1000,5
2014-08-14 16:55:00,2014,8,14,16,55,78,75,73,78,58,49,1000,0,78,65,66,1000,3
2014-08-14 17:15:00,2014,8,14,17,15,78,75,74,79,58,51,1000,0,78,65,66,1000,3
2014-08-14 17:35:00,2014,8,14,17,35,78,74,74,80,57,49,1000,0,78,67,69,1000,0
2014-08-14 17:55:00,2014,8,14,17,55,77,73,75,80,59,54,1000,0,76,67,75,1000,3
2014-08-14 18:15:00,2014,8,14,18,15,76,72,75,81,60,58,1000,0,75,66,76,1000,7
2014-08-14 18:35:00,2014,8,14,18,35,75,70,74,80,61,62,1000,0,74,67,77,1000,0
2014-08-14 18:55:00,2014,8,14,18,55,72,68,74,81,65,79,1000,0,74,66,78,1000,5
2014-08-14 19:15:00,2014,8,14,19,15,68,65,75,82,66,93,1000,0,73,66,80,1000,0
2014-08-14 19:35:00,2014,8,14,19,35,66,64,75,81,65,94,1000,0,72,67,85,1000,3
2014-08-14 19:55:00,2014,8,14,19,55,65,63,76,81,63,94,1000,0,72,66,83,1000,3
2014-08-14 20:15:00,2014,8,14,20,15,64,62,77,82,63,95,1000,0,70,67,91,1000,6
2014-08-14 20:35:00,2014,8,14,20,35,63,60,77,81,62,94,1000,0,70,67,89,1000,5
2014-08-14 20:55:00,2014,8,14,20,55,63,60,77,83,61,92,1000,3,70,65,86,1000,3
2014-08-14 21:15:00,2014,8,14,21,15,63,60,77,83,61,93,1000,3,70,65,87,1000,0
2014-08-14 21:35:00,2014,8,14,21,35,62,59,77,84,60,93,1000,0,70,65,85,1000,3
2014-08-14 21:55:00,2014,8,14,21,55,63,59,76,83,60,90,1000,3,69,67,92,1000,0
2014-08-14 22:15:00,2014,8,14,22,15,62,58,76,83,60,93,1000,3,69,66,91,1000,5
2014-08-14 22:35:00,2014,8,14,22,35,63,58,76,83,59,89,1000,0,69,66,89,1000,5
2014-08-14 22:55:00,2014,8,14,22,55,60,57,76,83,58,95,1000,0,70,65,86,1000,5
2014-08-14 23:15:00,2014,8,14,23,15,59,57,76,83,58,97,1000,0,70,65,86,1000,6
2014-08-14 23:35:00,2014,8,14,23,35,59,57,76,83,58,96,1000,3,69,66,88,1000,6
2014-08-14 23:55:00,2014,8,14,23,55,58,57,75,84,57,97,1000,0,69,66,89,1000,5
2014-08-15 00:15:00,2014,8,15,0,15,58,57,74,83,57,96,1000,5,68,66,92,1000,3
2014-08-15 00:35:00,2014,8,15,0,35,58,56,72,84,57,96,1000,5,68,66,93,1000,5
2014-08-15 00:55:00,2014,8,15,0,55,58,56,70,83,57,97,1000,5,68,66,93,1000,5
2014-08-15 01:15:00,2014,8,15,1,15,58,55,69,81,57,96,1000,0,67,65,94,1000,3
2014-08-15 01:35:00,2014,8,15,1,35,57,55,68,80,56,97,1000,0,67,65,95,1000,0
